City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Saint Anthony,US,80.38,clear sky,45.0205,-93.218,
194,Baijiantan,CN,91.9,broken clouds,45.6333,85.1833,
196,Bandarbeyla,SO,81.37,broken clouds,9.4942,50.8122,
198,Abeche,TD,75.92,overcast clouds,13.8292,20.8324,
207,Cabo San Lucas,MX,87.62,broken clouds,22.8909,-109.9124,
209,Khorramabad,IR,92.98,clear sky,33.4878,48.3558,
210,Matara,LK,82.65,overcast clouds,5.9485,80.5353,
213,Yorosso,ML,71.31,overcast clouds,12.3536,-4.7761,
214,Tautira,PF,76.17,light rain,-17.7333,-149.15,
215,Goure,NE,79.02,scattered clouds,13.9835,10.2704,
216,Port-Gentil,GA,73.63,overcast clouds,-0.7193,8.7815,
219,Santa Rosa,PH,85.01,overcast clouds,14.3122,121.1114,
220,Gat,IL,79.48,clear sky,31.61,34.7642,
222,Cururupu,BR,73.8,clear sky,-1.8283,-44.8683,
223,Sulangan,PH,82.13,overcast clouds,11.1373,123.7228,
224,Acapulco,MX,77.18,moderate rain,16.8634,-99.8901,
225,Kulhudhuffushi,MV,80.58,overcast clouds,6.6221,73.07,
226,Kapoeta,SS,77.76,broken clouds,4.7717,33.5903,
227,Barcelona,ES,81.54,clear sky,41.3888,2.159,
228,Tabou,CI,73.54,scattered clouds,4.423,-7.3528,
229,Gallup,US,71.44,few clouds,35.5281,-108.7426,
238,Brindisi,IT,78.78,clear sky,40.5833,17.6667,
240,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,
242,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,
243,San Juan Evangelista,MX,73.49,broken clouds,17.9,-95.1333,
244,Inta,RU,70.03,broken clouds,66.0317,60.1659,
245,Jumla,NP,72.19,overcast clouds,29.2747,82.1838,
249,Akhmim,EG,85.53,scattered clouds,26.5622,31.745,
251,Porto Novo,BJ,71.6,scattered clouds,6.4965,2.6036,
252,Chitral,PK,82.89,clear sky,35.8462,71.7858,
254,Vila Franca Do Campo,PT,70.21,light rain,37.7167,-25.4333,
255,Rio Grande City,US,83.1,overcast clouds,26.3798,-98.8203,
256,Omboue,GA,70.34,broken clouds,-1.5746,9.2618,
258,Labuan,MY,78.67,overcast clouds,5.2767,115.2417,
261,Umm Lajj,SA,87.57,light rain,25.0213,37.2685,
263,Altayskoye,RU,71.76,clear sky,51.9533,85.3325,
264,Moose Factory,CA,70.36,overcast clouds,51.2585,-80.6094,
265,Kidal,ML,87.46,scattered clouds,18.4411,1.4078,
268,Burgas,BG,71.71,few clouds,42.5061,27.4678,
270,Remontnoye,RU,80.89,overcast clouds,46.5614,43.6501,
271,Bethel,US,77.31,clear sky,41.3712,-73.414,
272,Dongsheng,CN,88.93,broken clouds,39.8161,109.9776,
274,Komsomolskiy,UZ,91.81,clear sky,40.4272,71.7189,
280,Starozhilovo,RU,79.05,clear sky,54.2254,39.916,
281,Nioro,GM,74.23,overcast clouds,13.35,-15.75,
283,Villena,ES,73.45,clear sky,38.6373,-0.8657,
286,Katsuura,JP,77.67,overcast clouds,35.1333,140.3,
287,Namie,JP,78.71,overcast clouds,37.4833,141.0,
292,Ziarat,PK,70.95,broken clouds,30.3823,67.7282,
296,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,
297,Tomatlan,MX,76.6,overcast clouds,19.9333,-105.25,
298,Bajil,YE,88.3,overcast clouds,15.0584,43.2851,
299,Caravelas,BR,71.64,clear sky,-17.7125,-39.2481,
300,Riyadh,SA,96.94,clear sky,24.6877,46.7219,
301,Punganuru,IN,74.75,overcast clouds,13.3667,78.5833,
302,Kamenka,RU,75.79,clear sky,51.3223,42.7678,
304,Breves,BR,73.22,scattered clouds,-1.6822,-50.4803,
306,Cabedelo,BR,70.47,clear sky,-6.9811,-34.8339,
308,Wufeng,CN,72.09,scattered clouds,27.45,104.8333,
309,Canto Do Buriti,BR,74.03,clear sky,-8.11,-42.9444,
313,Labuhan,ID,87.73,scattered clouds,-6.8844,112.2051,
314,Javanrud,IR,91.71,clear sky,34.7961,46.5172,
315,Quang Ngai,VN,90.23,overcast clouds,15.1167,108.8,
316,Coahuayana,MX,77.76,broken clouds,18.7333,-103.6833,
317,Vavozh,RU,73.09,overcast clouds,56.7751,51.931,
318,Krynychky,UA,71.01,scattered clouds,48.3755,34.467,
320,Kostino,RU,70.65,overcast clouds,58.9097,53.2691,
322,Kailua,US,82.38,broken clouds,21.4022,-157.7394,
323,Fukue,JP,84.92,broken clouds,32.6881,128.8419,
324,Vostok,RU,74.93,overcast clouds,46.4856,135.8833,
329,Beyneu,KZ,87.06,scattered clouds,45.3167,55.2,
331,Kharan,PK,92.89,scattered clouds,28.5833,65.4167,
333,Kutum,SD,75.79,overcast clouds,14.2,24.6667,
337,Praya,CV,77.11,overcast clouds,14.9215,-23.5087,
338,Monte Alegre,BR,74.59,scattered clouds,-2.0078,-54.0692,
339,Elat,IL,89.44,clear sky,29.5581,34.9482,
340,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,
344,Alexandria,EG,79.43,clear sky,31.2156,29.9553,
345,Vieste,IT,80.67,clear sky,41.8825,16.175,
346,Lagoa,PT,74.14,light rain,39.05,-27.9833,
348,Umm Kaddadah,SD,81.77,overcast clouds,13.6017,26.6876,
349,Atbasar,KZ,74.55,broken clouds,51.8,68.3333,
350,Qingdao,CN,91.31,scattered clouds,36.0986,120.3719,
351,Farmington,US,79.48,clear sky,36.7281,-108.2187,
352,Hobyo,SO,78.48,scattered clouds,5.3505,48.5268,
353,Bethlehem,BR,78.84,clear sky,-1.4558,-48.5044,
355,Avera,US,77.56,overcast clouds,33.194,-82.5271,
357,Villa Del Rosario,CO,73.78,fog,7.8339,-72.4742,
361,Shache,CN,70.72,overcast clouds,38.4167,77.2406,
362,Kieta,PG,83.64,overcast clouds,-6.2167,155.6333,
374,San Patricio,US,84.09,overcast clouds,28.017,-97.5169,
375,Poum,NC,76.01,few clouds,-20.2333,164.0167,
379,Bilma,NE,87.48,broken clouds,18.6853,12.9164,
381,Porbandar,IN,82.38,haze,21.6422,69.6093,
382,Tulcea,RO,75.24,broken clouds,45.1667,28.8,
384,Teguldet,RU,72.18,broken clouds,57.3064,88.1667,
385,Matay,EG,79.21,clear sky,28.419,30.7792,
390,Yarega,RU,76.87,broken clouds,63.4354,53.5765,
392,Sivaki,RU,70.45,overcast clouds,52.6333,126.75,
