Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Upernavik,GL,72.7868,-56.1549,37.54,96,66,8.99,broken clouds
80,Bengkulu,ID,-3.8004,102.2655,83.39,64,7,5.12,clear sky
81,Hamilton,US,39.1834,-84.5333,75.0,94,100,1.01,mist
82,Kawalu,ID,-7.3817,108.2082,86.49,48,86,4.9,overcast clouds
83,Northam,GB,51.0333,-4.2167,48.25,81,70,3.74,broken clouds
84,Laurel,US,39.0993,-76.8483,74.7,96,100,1.01,overcast clouds
85,Mareeba,AU,-17.0,145.4333,89.44,49,59,6.08,broken clouds
86,Masterton,NZ,-40.9597,175.6575,53.89,77,100,7.99,overcast clouds
87,Mount Isa,AU,-20.7333,139.5,78.57,27,36,12.66,scattered clouds
88,Puerto Carreno,CO,6.189,-67.4859,75.33,95,100,3.49,overcast clouds
89,Ribeira Grande,PT,38.5167,-28.7,75.27,83,88,11.43,overcast clouds
90,Cidreira,BR,-30.1811,-50.2056,49.73,79,4,4.61,clear sky
91,Sorland,NO,67.667,12.6934,51.66,90,95,26.96,light rain
92,Jamestown,US,42.097,-79.2353,71.71,72,0,1.99,clear sky
93,Dwarka,IN,22.2394,68.9678,82.76,76,100,6.33,overcast clouds
94,Kavieng,PG,-2.5744,150.7967,83.66,68,75,1.57,broken clouds
95,Geraldton,AU,-28.7667,114.6,64.81,59,4,10.36,clear sky
96,Kaeo,NZ,-35.1,173.7833,61.32,81,72,8.05,broken clouds
97,Kobryn,BY,52.2138,24.3564,67.98,73,13,7.07,few clouds
98,Digoin,FR,46.4812,3.9795,64.49,74,0,5.75,clear sky
99,Kodiak,US,57.79,-152.4072,54.1,81,85,3.67,overcast clouds
100,Barrow,US,71.2906,-156.7887,39.22,93,100,11.5,overcast clouds
101,Adrar,MR,20.5022,-10.0711,91.15,31,38,12.24,scattered clouds
102,Bambous Virieux,MU,-20.3428,57.7575,73.22,62,3,9.78,clear sky
103,Caconda,AO,-13.7333,15.0667,54.25,39,2,5.17,clear sky
104,Azuaga,ES,38.2667,-5.6833,70.97,59,0,3.2,clear sky
105,Hithadhoo,MV,-0.6,73.0833,82.4,72,81,10.49,broken clouds
106,Dingle,PH,10.9995,122.6711,84.99,72,100,4.36,overcast clouds
107,Provost,CA,52.3501,-110.2683,52.66,64,59,4.43,broken clouds
108,Honiara,SB,-9.4333,159.95,83.26,75,96,6.11,overcast clouds
109,Mae Sai,TH,20.4335,99.8762,80.31,86,94,2.91,overcast clouds
110,Henties Bay,NA,-22.116,14.2845,56.03,82,10,3.56,clear sky
111,Luwuk,ID,-0.9516,122.7875,77.11,88,100,2.15,overcast clouds
112,Ubrique,ES,36.6778,-5.446,66.87,63,0,2.62,clear sky
113,Ahar,IR,38.4774,47.0699,72.68,47,0,5.26,clear sky
114,Faridpur,BD,23.6,89.8333,80.28,88,100,11.27,light rain
115,Grebanu,RO,45.3833,26.9667,74.71,56,3,6.98,clear sky
116,Provideniya,RU,64.3833,-173.3,49.91,65,55,12.01,broken clouds
117,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.57,87,48,3.89,scattered clouds
118,Port Elizabeth,ZA,-33.918,25.5701,52.32,86,51,1.99,broken clouds
119,Moron,AR,-34.6534,-58.6198,50.97,81,1,4.54,clear sky
120,Souillac,MU,-20.5167,57.5167,71.56,57,0,10.18,clear sky
121,Codrington,AU,-38.2667,141.9667,55.51,74,49,6.82,scattered clouds
